traditional ,simplified,pinyin,translation
⺮,⺮,zhu2],bamboo radical in Chinese characters (Kangxi radical 118)
〇,〇,ling2],zero
〡,〡,yi1],numeral 1 in Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5]
〢,〢,er4],numeral 2 in Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5]
〣,〣,san1],numeral 3 in Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5]
〤,〤,si4],numeral 4 in Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5]
〥,〥,wu3],numeral 5 in Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5]
〦,〦,liu4],numeral 6 in Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5]
〧,〧,qi1],numeral 7 in Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5]
〨,〨,ba1],numeral 8 in Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5]
〩,〩,jiu3],numeral 9 in Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5]
㐄,㐄,kua4],"component in Chinese characters, mirror image of 夂[zhi3]"
㐅,㐅,wu3],archaic variant of 五[wu3]
㐆,㐆,yin3],component in Chinese character 殷[yin1]
㐌,㐌,ta1],variant of 它[ta1]
㐖,㐖,Ye4],see 㐖毒[Ye4 du2]
㐖毒,㐖毒,Ye4 du2],India (archaic)
㐜,㐜,chou2],variant of 仇[chou2]
㐡,㐡,nuo4],archaic variant of 懦[nuo4]
㐤,㐤,qiu2],archaic variant of 求[qiu2]
㐫,㐫,xiong1],old variant of 凶[xiong1]
㐰,㐰,xin4],old variant of 信[xin4]
㐺,㐺,zhong4],old variant of 眾|众[zhong4]
㑳,㑇,zhou4],(old) beautiful
㑺,俊,jun4],old variant of 俊[jun4]
㒳,㒳,liang3],old variant of 兩|两[liang3]
㒸,㒸,sui4],archaic variant of 遂[sui4]
㒺,罔,wang3],old variant of 罔[wang3]
㓂,寇,kou4],old variant of 寇[kou4]
㔾,㔾,jie2],seal radical in Chinese characters (Kangxi radical 26)
