反差,反差,fan3 cha1],contrast,discrepancy,,,,,,,,,,,,,,,,
反帝,反帝,fan3 di4],anti-imperialist,anti-imperialists,,,,,,,,,,,,,,,,
反常,反常,fan3 chang2],unusual,abnormal,,,,,,,,,,,,,,,,
反式,反式,fan3 shi4],trans- (isomer) (chemistry),see also 順式|顺式[shun4 shi4],,,,,,,,,,,,,,,,
反式脂肪,反式脂肪,fan3 shi4 zhi1 fang2],trans fat,trans-isomer fatty acid,,,,,,,,,,,,,,,,
反式脂肪酸,反式脂肪酸,fan3 shi4 zhi1 fang2 suan1],see 反式脂肪[fan3 shi4 zhi1 fang2],,,,,,,,,,,,,,,,,
反彈,反弹,fan3 tan2],to bounce,to bounce back,to boomerang,to ricochet,rebound (of stock market etc),bounce,backlash,negative repercussions,,,,,,,,,,
反彈導彈,反弹导弹,fan3 dan4 dao3 dan4],antimissile missile,,,,,,,,,,,,,,,,,
反復,反复,fan3 fu4],variant of 反覆|反复[fan3 fu4],,,,,,,,,,,,,,,,,
反思,反思,fan3 si1],to think back over sth,to review,to revisit,to rethink,reflection,reassessment,,,,,,,,,,,,
反恐,反恐,fan3 kong3],anti-terrorism,to fight against terrorism,,,,,,,,,,,,,,,,
反恐戰爭,反恐战争,fan3 kong3 zhan4 zheng1],war on terrorism,,,,,,,,,,,,,,,,,
反悔,反悔,fan3 hui3],to renege,to go back (on a deal),to back out (of a promise),,,,,,,,,,,,,,,
反感,反感,fan3 gan3],to be disgusted with,to dislike,bad reaction,antipathy,,,,,,,,,,,,,,
反應,反应,fan3 ying4],to react,to respond,reaction,response,reply,chemical reaction,CL:個|个[ge4],,,,,,,,,,,
反應堆,反应堆,fan3 ying4 dui1],reactor,,,,,,,,,,,,,,,,,
反應堆燃料元件,反应堆燃料元件,fan3 ying4 dui1 ran2 liao4 yuan2 jian4],fuel element,,,,,,,,,,,,,,,,,
反應堆芯,反应堆芯,fan3 ying4 dui1 xin1],reactor core,,,,,,,,,,,,,,,,,
反應式,反应式,fan3 ying4 shi4],equation of a chemical reaction,,,,,,,,,,,,,,,,,
