traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
調情,调情,tiao2 qing2],to flirt,,,,,,,,,,,,,,,,,
調戲,调戏,tiao2 xi4],to take liberties with a woman,to dally,to assail a woman with obscenities,,,,,,,,,,,,,,,
調控,调控,tiao2 kong4],to regulate,to control,,,,,,,,,,,,,,,,
調換,调换,diao4 huan4],to exchange,to change places,to swap,,,,,,,,,,,,,,,
調撥,调拨,diao4 bo1],to send (products),to allocate,to commit (funds),to channel (goods),,,,,,,,,,,,,,
調撥,调拨,tiao2 bo1],to sow discord,,,,,,,,,,,,,,,,,
調擋,调挡,tiao2 dang3],gear shift,,,,,,,,,,,,,,,,,
調攝,调摄,tiao2 she4],to nurse to health,to recuperate,,,,,,,,,,,,,,,,
調教,调教,tiao2 jiao4],to instruct,to teach,to train,to raise (livestock),,,,,,,,,,,,,,
調整,调整,tiao2 zheng3],to adjust,adjustment,revision,CL:個|个[ge4],,,,,,,,,,,,,,
調料,调料,tiao2 liao4],condiment,seasoning,flavoring,,,,,,,,,,,,,,,
調查,调查,diao4 cha2],investigation,inquiry,to investigate,to survey,survey,(opinion) poll,CL:項|项[xiang4]個|个[ge4],,,,,,,,,,,
調查人員,调查人员,diao4 cha2 ren2 yuan2],investigator,,,,,,,,,,,,,,,,,
調查員,调查员,diao4 cha2 yuan2],investigator,,,,,,,,,,,,,,,,,
調查團,调查团,diao4 cha2 tuan2],investigating team,,,,,,,,,,,,,,,,,
調查核實,调查核实,diao4 cha2 he2 shi2],to investigate,investigation,fact-checking,,,,,,,,,,,,,,,
調查結果,调查结果,diao4 cha2 jie2 guo3],results (of an investigation poll),,,,,,,,,,,,,,,,,
調查者,调查者,diao4 cha2 zhe3],investigator,,,,,,,,,,,,,,,,,
調查表,调查表,diao4 cha2 biao3],questionnaire,inventory list,CL:張|张[zhang1]份[fen4],,,,,,,,,,,,,,,
調檔,调档,diao4 dang4],to transfer a dossier,to consult a dossier,,,,,,,,,,,,,,,,
調派,调派,diao4 pai4],to send on assignment,to deploy (troops),,,,,,,,,,,,,,,,
調準,调准,tiao2 zhun3],to adjust to the right value,to tune,to focus (a camera etc),to set (the date the time) to the correct value,,,,,,,,,,,,,,
調焦,调焦,tiao2 jiao1],to focus,,,,,,,,,,,,,,,,,
調理,调理,tiao2 li3],to nurse one's health,to recuperate,to take care of,to look after,to discipline,to educate,to train,to prepare food,(dialect) to make fun of,(medicine) to opsonize,,,,,,,,
調用,调用,diao4 yong4],to transfer (for a specific purpose),to allocate,(computing) to invoke (a command an application etc),,,,,,,,,,,,,,,
調發,调发,diao4 fa1],to requisition,to dispatch,,,,,,,,,,,,,,,,
調皮,调皮,tiao2 pi2],naughty,mischievous,unruly,,,,,,,,,,,,,,,
調相,调相,tiao2 xiang4],phase modulation,,,,,,,,,,,,,,,,,
調研,调研,diao4 yan2],to investigate and research,research,investigation,,,,,,,,,,,,,,,
調研人員,调研人员,tiao2 yan2 ren2 yuan2],research workers,survey and research workers,,,,,,,,,,,,,,,,
調笑,调笑,tiao2 xiao4],to tease,to poke fun at,,,,,,,,,,,,,,,,
調節,调节,tiao2 jie2],to adjust,to regulate,to harmonize,to reconcile (accountancy etc),,,,,,,,,,,,,,
調節器,调节器,tiao2 jie2 qi4],regulator,,,,,,,,,,,,,,,,,
調羹,调羹,tiao2 geng1],spoon,,,,,,,,,,,,,,,,,
調職,调职,diao4 zhi2],to be transferred to another post,to post away,,,,,,,,,,,,,,,,
調色,调色,tiao2 se4],to blend colors,to mix colors,,,,,,,,,,,,,,,,
調色板,调色板,tiao2 se4 ban3],palette,,,,,,,,,,,,,,,,,
調藥刀,调药刀,tiao2 yao4 dao1],spatula,,,,,,,,,,,,,,,,,
調虎離山,调虎离山,diao4 hu3 li2 shan1],to lure the tiger from its domain in the mountains (idiom),to lure an enemy away from his territory,,,,,,,,,,,,,,,,
調號,调号,diao4 hao4],tone mark on a Chinese syllable (i.e. accents on ā á ǎ à),(music) key signature,,,,,,,,,,,,,,,,
調製,调制,tiao2 zhi4],to concoct by mixing ingredients,to prepare according to a recipe,to make (a salad a cocktail cosmetics etc),,,,,,,,,,,,,,,
調解,调解,tiao2 jie3],to mediate,to bring parties to an agreement,,,,,,,,,,,,,,,,
調訓,调训,tiao2 xun4],to train,to care for and educate,,,,,,,,,,,,,,,,
調試,调试,tiao2 shi4],to debug,to adjust components during testing,debugging,,,,,,,,,,,,,,,
調諧,调谐,tiao2 xie2],harmonious,to adjust,to tune (e.g. wireless receiver),to bring into harmony,,,,,,,,,,,,,,
調謔,调谑,tiao2 xue4],to make fun of,to mock,,,,,,,,,,,,,,,,
調變,调变,tiao2 bian4],modulation,to modulate (electronics),,,,,,,,,,,,,,,,
調資,调资,tiao2 zi1],wage adjustment,to raise or lower wages,,,,,,,,,,,,,,,,
調赴,调赴,diao4 fu4],to dispatch (troops to the front),,,,,,,,,,,,,,,,,
調轉,调转,diao4 zhuan3],to reassign sb to a different job,to turn around,to change direction,to make a U turn,,,,,,,,,,,,,,
調速,调速,tiao2 su4],to adjust the speed,,,,,,,,,,,,,,,,,
調遣,调遣,diao4 qian3],to dispatch,to assign,a dispatch,,,,,,,,,,,,,,,
調適,调适,tiao2 shi4],to adapt (to an environment etc),to make sth suitable,adaptation,adjustment,adaptive,,,,,,,,,,,,,
調遷,调迁,diao4 qian1],to transfer,to move,to shift,,,,,,,,,,,,,,,
調配,调配,diao4 pei4],to allocate,to deploy,,,,,,,,,,,,,,,,
調配,调配,tiao2 pei4],to blend (colors herbs),to mix,,,,,,,,,,,,,,,,
調酒,调酒,tiao2 jiu3],to mix drinks,cocktail,,,,,,,,,,,,,,,,
調酒器,调酒器,tiao2 jiu3 qi4],(cocktail) shaker,,,,,,,,,,,,,,,,,
調酒師,调酒师,tiao2 jiu3 shi1],bartender,,,,,,,,,,,,,,,,,
調門,调门,diao4 men2],melody,pitch or key (music),tone,style,point of view,,,,,,,,,,,,,
調門,调门,tiao2 men2],valve,,,,,,,,,,,,,,,,,
調門兒,调门儿,diao4 men2 r5],erhua variant of 調門|调门[diao4 men2],,,,,,,,,,,,,,,,,
調閱,调阅,diao4 yue4],to access (a document),to consult,,,,,,,,,,,,,,,,
調防,调防,diao4 fang2],to relieve a garrison,,,,,,,,,,,,,,,,,
調降,调降,tiao2 jiang4],(Tw) to lower (prices interest rates etc),to reduce,to cut,,,,,,,,,,,,,,,
調集,调集,diao4 ji2],to summon,to muster,to assemble,,,,,,,,,,,,,,,
調音,调音,tiao2 yin1],to tune (a musical instrument),,,,,,,,,,,,,,,,,
調頭,调头,diao4 tou2],variant of 掉頭|掉头[diao4 tou2],,,,,,,,,,,,,,,,,
調頭,调头,diao4 tou5],tone (of voice),tune,,,,,,,,,,,,,,,,
調頻,调频,tiao2 pin2],frequency modulation,FM,,,,,,,,,,,,,,,,
調養,调养,tiao2 yang3],to take care of (sb's health),to nurse,,,,,,,,,,,,,,,,
調馴,调驯,tiao2 xun4],to look after and train (animals),,,,,,,,,,,,,,,,,
諂,谄,chan3],to flatter,to cajole,,,,,,,,,,,,,,,,
諂媚,谄媚,chan3 mei4],to flatter,,,,,,,,,,,,,,,,,
諂媚者,谄媚者,chan3 mei4 zhe3],flatterer,,,,,,,,,,,,,,,,,
諄,谆,zhun1],repeatedly (in giving advice),sincere,earnest,untiring,,,,,,,,,,,,,,
諄諄,谆谆,zhun1 zhun1],earnest,devoted,tireless,sincere,assiduous,,,,,,,,,,,,,
諄諄告誡,谆谆告诫,zhun1 zhun1 gao4 jie4],to repeatedly advise sb earnestly (idiom),to admonish,,,,,,,,,,,,,,,,
諆,諆,qi1],to deceive,to contrive,,,,,,,,,,,,,,,,
談,谈,Tan2],surname Tan,,,,,,,,,,,,,,,,,
談,谈,tan2],to speak,to talk,to converse,to chat,to discuss,,,,,,,,,,,,,
談不上,谈不上,tan2 bu5 shang4],to be out of the question,,,,,,,,,,,,,,,,,
談不攏,谈不拢,tan2 bu4 long3],can't come to an agreement,,,,,,,,,,,,,,,,,
談何容易,谈何容易,tan2 he2 rong2 yi4],easier said than done (idiom),,,,,,,,,,,,,,,,,
談價,谈价,tan2 jia4],to negotiate (prices),to haggle,,,,,,,,,,,,,,,,
談判,谈判,tan2 pan4],to negotiate,negotiation,talks,conference,CL:個|个[ge4],,,,,,,,,,,,,
談判制度,谈判制度,tan2 pan4 zhi4 du4],collective bargaining system,,,,,,,,,,,,,,,,,
談判桌,谈判桌,tan2 pan4 zhuo1],conference table,,,,,,,,,,,,,,,,,
談到,谈到,tan2 dao4],to refer to,to speak about,to talk about,,,,,,,,,,,,,,,
談及,谈及,tan2 ji2],to talk about,to mention,,,,,,,,,,,,,,,,
談古論今,谈古论今,tan2 gu3 lun4 jin1],to talk of the past and discuss the present (idiom),to chat freely,to discuss everything,,,,,,,,,,,,,,,
談吐,谈吐,tan2 tu3],style of conversation,,,,,,,,,,,,,,,,,
談天,谈天,tan2 tian1],to chat,,,,,,,,,,,,,,,,,
談天說地,谈天说地,tan2 tian1 shuo1 di4],to talk endlessly,talking of anything under the sun,,,,,,,,,,,,,,,,
談得來,谈得来,tan2 de5 lai2],to be able to talk to,to get along with,to be congenial,,,,,,,,,,,,,,,
談心,谈心,tan2 xin1],to have a heart-to-heart chat,,,,,,,,,,,,,,,,,
談性變色,谈性变色,tan2 xing4 bian4 se4],to turn green at the mention of sex,prudish,,,,,,,,,,,,,,,,
談情說愛,谈情说爱,tan2 qing2 shuo1 ai4],to discuss passion and talk of love (idiom); to express love with terms of endearment,billing and cooing,,,,,,,,,,,,,,,,
談戀愛,谈恋爱,tan2 lian4 ai4],to court,to go steady,to be dating,,,,,,,,,,,,,,,
談星,谈星,tan2 xing1],astrology,fortune-telling,,,,,,,,,,,,,,,,
談朋友,谈朋友,tan2 peng2 you5],to be dating sb,,,,,,,,,,,,,,,,,
談笑自若,谈笑自若,tan2 xiao4 zi4 ruo4],to talk and laugh as though nothing had happened,to remain cheerful (despite a crisis),,,,,,,,,,,,,,,,
談笑風生,谈笑风生,tan2 xiao4 feng1 sheng1],to talk cheerfully and wittily,to joke together,,,,,,,,,,,,,,,,
談虎色變,谈虎色变,tan2 hu3 se4 bian4],to turn pale at the mention of a tiger (idiom),to be scared at the mere mention of,,,,,,,,,,,,,,,,
談話,谈话,tan2 hua4],talk,conversation,CL:次[ci4],,,,,,,,,,,,,,,
談談,谈谈,tan2 tan2],to discuss,to have a chat,,,,,,,,,,,,,,,,
談論,谈论,tan2 lun4],to discuss,to talk about,,,,,,,,,,,,,,,,
談資,谈资,tan2 zi1],sth that people like to chat about,topic of idle conversation,,,,,,,,,,,,,,,,
諉,诿,wei3],to shirk,to give excuses,,,,,,,,,,,,,,,,
諉過,诿过,wei3 guo4],to put the blame on sb else,,,,,,,,,,,,,,,,,
請,请,qing3],to ask,to invite,please (do sth),to treat (to a meal etc),to request,,,,,,,,,,,,,
