1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
後路,后路,hou4 lu4],escape route,retreat route,communication lines to the rear,alternative course of action,room for maneuver,,,,,,,,,,,,,
後車之鑒,后车之鉴,hou4 che1 zhi1 jian4],lit. warning to the following cart (idiom); don't follow the track of an overturned cart,fig. draw lesson from the failure of one's predecessor,learn from past mistake,once bitten twice shy,,,,,,,,,,,,,,
後車架,后车架,hou4 che1 jia4],luggage carrier (bicycle),,,,,,,,,,,,,,,,,
後車軸,后车轴,hou4 che1 zhou2],back axle (of car),,,,,,,,,,,,,,,,,
後輩,后辈,hou4 bei4],younger generation,,,,,,,,,,,,,,,,,
後輪,后轮,hou4 lun2],rear wheel,,,,,,,,,,,,,,,,,
後退,后退,hou4 tui4],to recoil,to draw back,to fall back,to retreat,,,,,,,,,,,,,,
後送,后送,hou4 song4],evacuation (military),,,,,,,,,,,,,,,,,
後送醫院,后送医院,hou4 song4 yi1 yuan4],evacuation hospital (military),,,,,,,,,,,,,,,,,
後進,后进,hou4 jin4],less advanced,underdeveloped,lagging behind,the younger generation,the less experienced ones,,,,,,,,,,,,,
後進先出,后进先出,hou4 jin4 xian1 chu1],to come late and leave first,last in first out (LIFO),,,,,,,,,,,,,,,,
後遺症,后遗症,hou4 yi2 zheng4],(medicine) sequelae,residual effects,(fig.) repercussions,aftermath,,,,,,,,,,,,,,
後邊,后边,hou4 bian5],back,rear,behind,,,,,,,,,,,,,,,
後邊兒,后边儿,hou4 bian5 r5],erhua variant of 後邊|后边[hou4 bian5],,,,,,,,,,,,,,,,,
後部,后部,hou4 bu4],back section,,,,,,,,,,,,,,,,,
後金,后金,Hou4 Jin1],Later Jin dynasty (from 1616-),Manchu Khanate or kingdom that took over as Qing dynasty in 1644,,,,,,,,,,,,,,,,
後鉤,后钩,hou4 gou1],unfinished business,,,,,,,,,,,,,,,,,
後鉤兒,后钩儿,hou4 gou1 r5],erhua variant of 後鉤|后钩[hou4 gou1],,,,,,,,,,,,,,,,,
後門,后门,hou4 men2],the back door,fig. under the counter (indirect way for influence or pressure),anus,,,,,,,,,,,,,,,
後附,后附,hou4 fu4],attachment,appendix,addendum,,,,,,,,,,,,,,,
後院,后院,hou4 yuan4],rear court,back garden,backyard (also fig.),,,,,,,,,,,,,,,
後院起火,后院起火,hou4 yuan4 qi3 huo3],a fire in one's backyard,conflict close to home,,,,,,,,,,,,,,,,
後面,后面,hou4 mian5],rear,back,behind,later,afterwards,,,,,,,,,,,,,
後頭,后头,hou4 tou5],behind,in the back,the rear side,later,in future,,,,,,,,,,,,,
後頸,后颈,hou4 jing3],nape,,,,,,,,,,,,,,,,,
後顧之憂,后顾之忧,hou4 gu4 zhi1 you1],fears of trouble in the rear (idiom); family worries (obstructing freedom of action),worries about the future consequences,"often in negative expressions meaning ""no worries about anything""",,,,,,,,,,,,,,,
後驗概率,后验概率,hou4 yan4 gai4 lu:4],posterior probability (statistics),,,,,,,,,,,,,,,,,
後魏,后魏,Hou4 Wei4],Wei of the Northern Dynasties 386-534,,,,,,,,,,,,,,,,,
後鼻音,后鼻音,hou4 bi2 yin1],velar nasal,consonant ng or ŋ produced in the nose with the back of the tongue against the soft palate,,,,,,,,,,,,,,,,
