traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
甦家屯,苏家屯,Su1 jia1 tun2],Sujiatun district of Shenyang city 沈陽市|沈阳市 Liaoning,,,,,,,,,,,,,,,,,
甦家屯區,苏家屯区,Su1 jia1 tun2 qu1],Sujiatun district of Shenyang city 沈陽市|沈阳市 Liaoning,,,,,,,,,,,,,,,,,
甦醒,苏醒,su1 xing3],to come to,to awaken,to regain consciousness,,,,,,,,,,,,,,,
用,用,yong4],to use,to employ,to have to,to eat or drink,expense or outlay,usefulness,hence,therefore,,,,,,,,,,
用不了,用不了,yong4 bu5 liao3],to not use all of,to use less than,,,,,,,,,,,,,,,,
用不著,用不着,yong4 bu5 zhao2],not need,have no use for,,,,,,,,,,,,,,,,
用于,用于,yong4 yu2],use in,use on,use for,,,,,,,,,,,,,,,
用人,用人,yong4 ren2],servant,to employ sb for a job,to manage people,to be in need of staff,,,,,,,,,,,,,,
用人經費,用人经费,yong4 ren2 jing1 fei4],personnel expenditure (accountancy),,,,,,,,,,,,,,,,,
用以,用以,yong4 yi3],in order to,so as to,,,,,,,,,,,,,,,,
用作,用作,yong4 zuo4],to use for the purpose of,to serve as,,,,,,,,,,,,,,,,
用來,用来,yong4 lai2],to be used for,,,,,,,,,,,,,,,,,
用光,用光,yong4 guang1],out of (supply),spent,exhausted (used up),depleted,,,,,,,,,,,,,,
用具,用具,yong4 ju4],appliance,utensil,gear,equipment,,,,,,,,,,,,,,
用力,用力,yong4 li4],to exert oneself physically,,,,,,,,,,,,,,,,,
用功,用功,yong4 gong1],diligent,industrious (in one's studies),to study hard,to make great effort,,,,,,,,,,,,,,
用命,用命,yong4 ming4],to follow orders,to abide by,to obey,,,,,,,,,,,,,,,
用品,用品,yong4 pin3],articles for use,products,goods,,,,,,,,,,,,,,,
用場,用场,yong4 chang3],use,application,Taiwan pr. [yong4 chang2],,,,,,,,,,,,,,,
用字,用字,yong4 zi4],to use letters,to use words,diction,,,,,,,,,,,,,,,
用完,用完,yong4 wan2],used up,finished,,,,,,,,,,,,,,,,
用度,用度,yong4 du4],expense,,,,,,,,,,,,,,,,,
用得上,用得上,yong4 de5 shang4],needed,to come in useful,,,,,,,,,,,,,,,,
用得其所,用得其所,yong4 de5 qi2 suo3],used properly,used for its intended purpose,to put to good use,to serve its purpose,,,,,,,,,,,,,,
用得著,用得着,yong4 de5 zhao2],to be able to use,useable,to have a use for sth,(in interrogative sentence) to be necessary to,,,,,,,,,,,,,,
用心,用心,yong4 xin1],motive,intention,to be diligent or attentive,careful,,,,,,,,,,,,,,
用心良苦,用心良苦,yong4 xin1 liang2 ku3],to ponder earnestly,to give a lot of thought to sth,,,,,,,,,,,,,,,,
用意,用意,yong4 yi4],intention,purpose,,,,,,,,,,,,,,,,
用戶,用户,yong4 hu4],user,consumer,subscriber,customer,,,,,,,,,,,,,,
用戶到網絡接口,用户到网络接口,yong4 hu4 dao4 wang3 luo4 jie1 kou3],user-network interface,UNI,,,,,,,,,,,,,,,,
用戶到網絡的接口,用户到网络的接口,yong4 hu4 dao4 wang3 luo4 de5 jie1 kou3],User-Network Interface,UNI,,,,,,,,,,,,,,,,
用戶創造內容,用户创造内容,yong4 hu4 chuang4 zao4 nei4 rong2],user-generated content (of a website),,,,,,,,,,,,,,,,,
用戶名,用户名,yong4 hu4 ming2],username,user ID,,,,,,,,,,,,,,,,
用戶定義,用户定义,yong4 hu4 ding4 yi4],user-defined,,,,,,,,,,,,,,,,,
用戶界面,用户界面,yong4 hu4 jie4 mian4],user interface,,,,,,,,,,,,,,,,,
用戶端設備,用户端设备,yong4 hu4 duan1 she4 bei4],customer premise equipment,CPE,,,,,,,,,,,,,,,,
用戶線,用户线,yong4 hu4 xian4],subscriber line,,,,,,,,,,,,,,,,,
用料,用料,yong4 liao4],ingredients,material,,,,,,,,,,,,,,,,
用武之地,用武之地,yong4 wu3 zhi1 di4],ample scope for abilities,favorable position for the use of one's skills (idiom),,,,,,,,,,,,,,,,
用法,用法,yong4 fa3],usage,,,,,,,,,,,,,,,,,
用盡,用尽,yong4 jin4],to exhaust,to use up completely,,,,,,,,,,,,,,,,
用盡心機,用尽心机,yong4 jin4 xin1 ji1],to tax one's ingenuity,,,,,,,,,,,,,,,,,
用膳,用膳,yong4 shan4],to dine,,,,,,,,,,,,,,,,,
用處,用处,yong4 chu5],usefulness,CL:個|个[ge4],,,,,,,,,,,,,,,,
用計,用计,yong4 ji4],to employ a stratagem,,,,,,,,,,,,,,,,,
用詞,用词,yong4 ci2],usage (of a term),wording,phrasing,,,,,,,,,,,,,,,
用語,用语,yong4 yu3],choice of words,wording,phraseology,term,,,,,,,,,,,,,,
用途,用途,yong4 tu2],use,application,,,,,,,,,,,,,,,,
用量,用量,yong4 liang4],quantity used,usage,consumption,dose,,,,,,,,,,,,,,
用錢,用钱,yong4 qian5],variant of 佣錢|佣钱[yong4 qian5],,,,,,,,,,,,,,,,,
用間,用间,yong4 jian4],using spies,,,,,,,,,,,,,,,,,
用項,用项,yong4 xiang4],items of expenditure,expenditures,,,,,,,,,,,,,,,,
用飯,用饭,yong4 fan4],to eat,to have a meal,,,,,,,,,,,,,,,,
用餐,用餐,yong4 can1],to eat a meal,,,,,,,,,,,,,,,,,
用餐時間,用餐时间,yong4 can1 shi2 jian1],meal times,,,,,,,,,,,,,,,,,
甩,甩,shuai3],to throw,to fling,to swing,to leave behind,to throw off,to dump (sb),,,,,,,,,,,,
甩上,甩上,shuai3 shang4],to throw off,to fling sth up (in anger),refers to dramatic sale prices,,,,,,,,,,,,,,,
甩動,甩动,shuai3 dong4],to shake,to fling one's arm,to lash,to swing,,,,,,,,,,,,,,
甩包袱,甩包袱,shuai3 bao1 fu5],lit. to fling off a bundle,fig. to abandon one's responsibility for sth,to wash one's hands of the matter,,,,,,,,,,,,,,,
甩尾,甩尾,shuai3 wei3],drifting (motorsport),,,,,,,,,,,,,,,,,
甩手,甩手,shuai3 shou3],to swing one's arms,to wash one's hands of sth,,,,,,,,,,,,,,,,
甩手掌櫃,甩手掌柜,shuai3 shou3 zhang3 gui4],lit. arm-flinging shopkeeper,fig. sb who asks others to work but does nothing himself,,,,,,,,,,,,,,,,
甩手頓腳,甩手顿脚,shuai3 shou3 dun4 jiao3],to fling one's arms and stamp one's feet (in anger or despair),,,,,,,,,,,,,,,,,
甩掉,甩掉,shuai3 diao4],to throw off,to abandon,to cast off,to get rid of,to dump,,,,,,,,,,,,,
甩臉子,甩脸子,shuai3 lian3 zi5],to grimace with displeasure,to pull a long face,,,,,,,,,,,,,,,,
甩袖子,甩袖子,shuai3 xiu4 zi5],to swing one's sleeve (in anger),,,,,,,,,,,,,,,,,
甩賣,甩卖,shuai3 mai4],to mark down (the price of goods),to sell off cheap,,,,,,,,,,,,,,,,
甩車,甩车,shuai3 che1],to uncouple (wagons or trucks from a train),,,,,,,,,,,,,,,,,
